3525.80	0.0069	0.57	3.81	1.32	0.20
3525.60	0.0087	0.24	5.08	4.26	3.04
3525.40	0.0060	0.23	2.82	2.78	1.64
3525.20	0.0065	0.46	4.51	1.94	0.17
3525.00	0.0044	0.58	3.13	3.00	0.05
3524.80	0.0035	0.27	1.43	2.44	1.03
3524.60	0.0039	0.18	1.55	1.79	0.88
3524.40	0.0031	0.41	4.12	5.26	3.12
3524.20	0.0067	0.31	3.37	2.71	1.11
3524.00	0.0068	0.33	4.43	2.90	1.20
3523.80	0.0140	0.30	3.26	3.57	2.03
3523.60	0.0111	0.53	4.30	1.75	0.14
3523.40	0.0066	0.55	4.19	1.17	0.11
3523.20	0.0063	0.33	3.18	1.98	0.29
3523.00	0.0095	0.68	3.83	3.83	0.36
3522.80	0.0068	0.75	2.78	1.97	0.11
3522.60	0.0063	0.44	3.55	1.60	0.13
3522.40	0.0068	0.46	3.73	3.12	0.78
3522.20	0.0070	0.49	2.98	4.92	2.40
3522.00	0.0057	0.35	7.57	3.50	1.72
3521.80	0.0047	0.33	7.31	3.17	1.47
3521.60	0.0063	0.29	4.30	2.15	0.64
3521.40	0.0099	0.40	4.77	4.50	2.43
3521.20	0.0093	0.45	3.60	2.77	0.46
3521.00	0.0086	0.42	3.88	2.64	0.49
3520.80	0.0054	0.66	6.96	3.80	0.41
3520.60	0.0036	0.62	6.72	3.20	0.05
3520.40	0.0071	0.49	4.35	3.82	1.30
3520.20	0.0075	0.55	5.15	4.47	1.61
3520.00	0.0040	0.52	4.15	3.01	0.37
3519.80	0.0066	0.32	3.92	2.34	0.71
3519.60	0.0055	1.28	3.49	2.19	0.11
3519.40	0.0062	0.81	4.58	3.18	0.19
3519.20	0.0060	0.43	1.18	2.49	0.32
3519.00	0.0046	0.26	4.02	1.58	0.24
3518.80	0.0053	0.20	5.06	1.90	0.89
3518.60	0.0045	0.41	3.21	3.51	1.41
3518.40	0.0108	0.60	2.73	3.60	0.54
3518.20	0.0066	0.44	4.51	5.88	3.62
3518.00	0.0042	0.63	3.85	4.13	0.92
3517.80	0.0055	0.42	3.82	5.04	2.84
3517.60	0.0040	0.57	1.45	2.60	0.18
3517.40	0.0069	0.56	3.98	5.87	2.95
3517.20	0.0074	0.39	3.65	5.41	3.37
3517.00	0.0063	0.46	6.20	4.49	2.14
3516.80	0.0052	0.28	3.54	3.70	2.24
3516.60	0.0090	0.16	6.67	3.45	2.62
3516.40	0.0084	0.40	1.42	3.79	1.73
3516.20	0.0047	0.49	1.52	2.25	0.19
3516.00	0.0045	0.82	3.68	7.11	2.89
3515.80	0.0065	0.61	3.70	6.88	3.75
3515.60	0.0061	0.26	1.36	3.62	2.26
3515.40	0.0065	0.24	6.84	7.05	5.83
3515.20	0.0061	0.33	3.99	4.33	2.62
3515.00	0.0079	0.26	3.04	4.61	3.26
3514.80	0.0059	0.16	1.43	3.69	2.88
3514.60	0.0104	0.44	4.18	6.46	4.19
3514.40	0.0083	0.84	4.49	6.87	2.53
3514.20	0.0104	0.60	1.44	6.57	3.47
3514.00	0.0066	0.35	2.92	5.31	3.46
3513.80	0.0080	0.29	3.28	5.80	4.26
3513.60	0.0048	0.32	2.77	2.42	0.80
3513.40	0.0064	0.49	1.17	4.12	1.60
3513.20	0.0067	0.31	6.67	3.41	1.82
3513.00	0.0045	0.23	4.08	3.86	2.69
3512.80	0.0053	0.25	7.15	3.94	2.67
3512.60	0.0059	0.26	6.55	4.49	3.14
3512.40	0.0038	0.48	2.91	4.63	2.17
3512.20	0.0044	0.46	5.08	6.20	3.83
3512.00	0.0038	0.53	1.37	8.32	5.54
3511.80	0.0081	0.61	1.11	5.01	1.90
3511.60	0.0069	0.77	0.49	6.53	2.56
3511.40	0.0044	1.42	1.25	7.42	0.19
3511.20	0.0035	0.61	1.40	8.68	5.53
3511.00	0.0051	0.56	0.58	4.01	1.16
3510.80	0.0087	0.48	1.16	6.33	3.82
3510.60	0.0103	0.47	2.94	5.50	3.08
3510.40	0.0110	0.20	4.40	6.18	5.19
